gene,n_shared_pubs,shared_pubs
Pold2,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Cds2,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Ncl,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Gpkow,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Sf3a1,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Eif6,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Dhps,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Grwd1,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Prpf40a,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Abt1,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Wdr77,8,29290584|32640256|34879274|36396656|29459677|32156810|33676427|37059858
Sf3b6,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Eif2b2,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rps24,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Dars,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Prpf19,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Dad1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rps11,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Snapc5,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Srsf3,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Bysl,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Polr3e,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Snrpg,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Lsm7,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Atp6v1e1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rsl24d1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Eif3f,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Cenpm,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Ddx41,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rabggta,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Uxt,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Cdc37,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Tubg1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Ppan,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Hist1h4d,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rpl13,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Yeats4,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Hist1h2bn,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rpl31,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rplp0,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Nxf1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Eif2s3x,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Wee1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Snrpf,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Hist1h2an,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Rps15a,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Tprkb,7,29290584|34879274|36396656|29459677|32156810|33676427|37059858
Rrp1,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
Ppp1cb,7,29290584|32640256|34879274|36396656|29459677|33676427|37059858
