gene,rho,n_coess,coess_p,hit_freq_all
Slc19a3,-0.7764,29,7.421e-07,0.01
2810004N23Rik,0.7713,30,6.077e-07,0.2717
Exosc8,0.7553,30,1.407e-06,0.3143
Aga,-0.7517,29,2.592e-06,0.0297
Mettl16,0.7383,31,2.126e-06,0.3441
Mtg2,0.7317,30,4.341e-06,0.3736
Mtor,0.7306,31,3.058e-06,0.3264
Gcsam,-0.73,29,6.962e-06,0.0081
Pabpc1,0.7241,30,6.082e-06,0.3298
D16Ertd472e,-0.7222,29,9.746e-06,0.0568
Dck,0.717,30,8.272e-06,0.0566
Gm14393,0.7166,30,8.430e-06,0.186
Olfr1323,-0.7153,29,1.296e-05,0.0
Twistnb,0.7103,30,1.095e-05,0.3587
Chd4,0.7093,31,7.935e-06,0.2432
Mrpl4,0.6997,30,1.687e-05,0.25
Znhit6,0.698,29,2.556e-05,0.2903
Med12,0.6962,31,1.363e-05,0.4124
Eif2b2,0.6961,30,1.941e-05,0.4066
Acat1,-0.6951,29,2.858e-05,0.0192
Gm10408,0.6948,30,2.044e-05,0.3095
Nphp4,-0.6926,29,3.134e-05,0.0114
Pitx1,-0.6921,30,2.267e-05,0.0333
Wdr92,0.6868,30,2.777e-05,0.2527
Aasdhppt,0.6863,30,2.824e-05,0.2941
Trmt6,0.6857,29,4.036e-05,0.3696
Polr2k,0.6857,29,4.036e-05,0.1692
Olfr1443,-0.6836,30,3.121e-05,0.0122
Gm5795,0.6805,30,3.502e-05,0.3333
Pdpn,-0.6805,30,3.502e-05,0.0192
Pfdn2,0.675,31,3.110e-05,0.3011
Pisd,0.6743,30,4.392e-05,0.2358
Kri1,0.6694,30,5.228e-05,0.3059
Nmnat2,-0.6667,30,5.742e-05,0.0
Pkp4,0.6665,29,7.896e-05,0.0562
Rtcb,0.6654,30,6.015e-05,0.337
Gm13275,0.6636,30,6.397e-05,0.1304
Olfr328,0.6635,29,8.718e-05,0.012
Mpv17l,-0.6635,29,8.718e-05,0.0449
Hist1h2ab,0.6625,31,4.902e-05,0.1912
Psma3,0.6623,30,6.698e-05,0.3558
Fyco1,-0.6618,30,6.801e-05,0.0568
Mgat4a,-0.6596,29,9.932e-05,0.02
Ube2d2a,0.6567,29,1.094e-04,0.0306
Slc29a3,-0.6567,29,1.094e-04,0.0392
Nr2f6,-0.6537,29,1.203e-04,0.019
Gemin6,0.6529,30,9.183e-05,0.3118
Pla2g6,-0.6527,29,1.242e-04,0.0396
Sept5,-0.6508,25,4.275e-04,0.0
Bub1b,0.6503,30,1.003e-04,0.2736
Kif27,-0.6502,29,1.344e-04,0.0562
Sdad1,0.6453,27,2.785e-04,0.3523
Adamts3,-0.6453,29,1.569e-04,0.03
Mrps35,0.6445,30,1.211e-04,0.2047
