gene,n_cohit,n_cohit_pubs,n_shared_full,target_hits,cand_hits,odds_ratio,jaccard,cohit_p,hit_freq_all,spec_p,spec_enrichment
Uba1,9,7,31,9,11,155.8,0.818,2.728e-06,0.3558,9.131e-05,2.81
Etf1,9,7,31,9,13,78.111,0.692,3.547e-05,0.3956,2.373e-04,2.53
Tprkb,8,6,30,9,8,243.667,0.889,1.538e-06,0.3478,1.332e-03,2.56
Wdr3,8,7,31,9,9,168.0,0.8,9.871e-06,0.3368,1.045e-03,2.64
Bap1,8,7,31,9,9,168.0,0.8,9.871e-06,0.3534,1.503e-03,2.51
Iars2,8,7,31,9,9,168.0,0.8,9.871e-06,0.3458,1.274e-03,2.57
Ost4,8,6,31,9,9,168.0,0.8,9.871e-06,0.1928,1.422e-05,4.61
Mtor,8,7,31,9,9,168.0,0.8,9.871e-06,0.3264,8.228e-04,2.72
Haus1,8,6,29,9,9,152.0,0.8,1.807e-05,0.3371,1.051e-03,2.64
Hmgcs1,8,7,31,9,10,80.0,0.727,4.737e-05,0.3143,6.174e-04,2.83
Rps25,8,7,31,9,10,80.0,0.727,4.737e-05,0.3908,3.196e-03,2.27
Eif5,8,7,31,9,10,80.0,0.727,4.737e-05,0.375,2.346e-03,2.37
Cenpm,8,7,31,9,10,80.0,0.727,4.737e-05,0.4255,6.016e-03,2.09
Ufd1,8,7,31,9,10,80.0,0.727,4.737e-05,0.3333,9.653e-04,2.67
Sae1,8,7,31,9,10,80.0,0.727,4.737e-05,0.3235,7.696e-04,2.75
Kars,8,7,31,9,10,80.0,0.727,4.737e-05,0.3241,7.795e-04,2.74
Prpf8,8,7,30,9,10,76.0,0.727,6.360e-05,0.3429,1.195e-03,2.59
Rpf2,8,7,30,9,10,76.0,0.727,6.360e-05,0.3977,3.643e-03,2.23
Cebpz,8,7,30,9,10,76.0,0.727,6.360e-05,0.3297,8.877e-04,2.7
Psma3,8,7,30,9,10,76.0,0.727,6.360e-05,0.3558,1.579e-03,2.5
Psmb4,8,7,28,9,10,68.0,0.727,1.187e-04,0.3689,2.076e-03,2.41
Tcp1,8,7,28,9,10,68.0,0.727,1.187e-04,0.4286,6.341e-03,2.07
Nutf2,8,7,31,9,11,50.667,0.667,1.664e-04,0.381,2.640e-03,2.33
Emg1,8,7,31,9,11,50.667,0.667,1.664e-04,0.3394,1.108e-03,2.62
Clp1,8,7,31,9,11,50.667,0.667,1.664e-04,0.3558,1.579e-03,2.5
Naa20,8,7,31,9,11,50.667,0.667,1.664e-04,0.3761,2.401e-03,2.36
Hist1h2an,8,7,31,9,11,50.667,0.667,1.664e-04,0.2714,2.012e-04,3.27
Cct5,8,7,31,9,11,50.667,0.667,1.664e-04,0.3889,3.081e-03,2.29
Psmb1,8,7,31,9,11,50.667,0.667,1.664e-04,0.3714,2.184e-03,2.39
Eif2b2,8,7,30,9,11,48.0,0.667,2.230e-04,0.4066,4.293e-03,2.19
Ubtf,8,7,30,9,11,48.0,0.667,2.230e-04,0.4111,4.660e-03,2.16
Cct4,8,7,30,9,11,48.0,0.667,2.230e-04,0.4348,7.051e-03,2.04
Rpl4,8,7,30,9,11,48.0,0.667,2.230e-04,0.3878,3.014e-03,2.29
Timm44,8,7,30,9,11,48.0,0.667,2.230e-04,0.3204,7.146e-04,2.77
Csnk2b,8,7,30,9,11,48.0,0.667,2.230e-04,0.3429,1.195e-03,2.59
Ogt,8,7,29,9,11,45.333,0.667,3.020e-04,0.3211,7.268e-04,2.77
Phb2,8,7,29,9,11,45.333,0.667,3.020e-04,0.4149,4.988e-03,2.14
Nol6,8,7,31,9,12,36.0,0.615,4.774e-04,0.3617,1.789e-03,2.46
Tamm41,8,7,31,9,12,36.0,0.615,4.774e-04,0.3956,3.501e-03,2.25
Zfp131,7,6,31,9,7,135.0,0.778,1.369e-05,0.2816,2.873e-03,2.76
Taf2,7,7,31,9,7,135.0,0.778,1.369e-05,0.34,9.358e-03,2.29
Haus5,7,7,31,9,7,135.0,0.778,1.369e-05,0.3187,6.264e-03,2.44
Slu7,7,7,31,9,7,135.0,0.778,1.369e-05,0.2718,2.298e-03,2.86
Hist1h2ak,7,7,31,9,7,135.0,0.778,1.369e-05,0.1556,5.924e-05,5.0
Gm5458,7,7,31,9,7,135.0,0.778,1.369e-05,0.2683,2.113e-03,2.9
Hist1h2bl,7,6,31,9,7,135.0,0.778,1.369e-05,0.2885,3.350e-03,2.7
Hist1h2bm,7,7,31,9,7,135.0,0.778,1.369e-05,0.2833,2.990e-03,2.75
Psmb3,7,7,30,9,7,129.0,0.778,1.768e-05,0.3441,1.007e-02,2.26
Gm14393,7,6,30,9,7,129.0,0.778,1.768e-05,0.186,1.948e-04,4.18
Nop14,7,7,30,9,7,129.0,0.778,1.768e-05,0.2857,3.153e-03,2.72
Hist1h2bk,7,7,29,9,7,123.0,0.778,2.307e-05,0.1702,1.080e-04,4.57
Rabggtb,7,7,28,9,7,117.0,0.778,3.040e-05,0.303,4.571e-03,2.57
Taf8,7,6,29,8,8,140.0,0.778,3.937e-05,0.2617,5.183e-04,3.34
Eif3f,7,7,31,9,8,73.5,0.7,1.015e-04,0.3364,8.771e-03,2.31
Hist1h2ai,7,7,31,9,8,73.5,0.7,1.015e-04,0.2029,3.450e-04,3.83
Dnajc9,7,7,31,9,8,73.5,0.7,1.015e-04,0.3295,7.716e-03,2.36
Supt16,7,7,31,9,8,73.5,0.7,1.015e-04,0.2246,6.714e-04,3.46
Gtf2b,7,7,31,9,8,73.5,0.7,1.015e-04,0.3667,1.485e-02,2.12
Srfbp1,7,7,31,9,8,73.5,0.7,1.015e-04,0.2747,2.457e-03,2.83
Cd3eap,7,6,31,9,8,73.5,0.7,1.015e-04,0.3511,1.139e-02,2.22
Pak1ip1,7,7,31,9,8,73.5,0.7,1.015e-04,0.3535,1.189e-02,2.2
Prc1,7,7,31,9,8,73.5,0.7,1.015e-04,0.3333,8.281e-03,2.33
Arcn1,7,7,31,9,8,73.5,0.7,1.015e-04,0.3261,7.227e-03,2.39
Spout1,7,6,31,9,8,73.5,0.7,1.015e-04,0.3297,7.734e-03,2.36
Ddx52,7,6,31,9,8,73.5,0.7,1.015e-04,0.3148,5.805e-03,2.47
Qars,7,7,31,9,8,73.5,0.7,1.015e-04,0.3647,1.437e-02,2.13
Inpp5k,7,6,31,9,8,73.5,0.7,1.015e-04,0.2264,7.068e-04,3.44
Gtf3c1,7,7,31,9,8,73.5,0.7,1.015e-04,0.3261,7.227e-03,2.39
Cdc42,7,6,31,9,8,73.5,0.7,1.015e-04,0.3297,7.734e-03,2.36
Dimt1,7,6,31,9,8,73.5,0.7,1.015e-04,0.3271,7.368e-03,2.38
Nsl1,7,7,31,9,8,73.5,0.7,1.015e-04,0.2935,3.736e-03,2.65
Dctn6,7,7,31,9,8,73.5,0.7,1.015e-04,0.3429,9.853e-03,2.27
Cenpn,7,6,31,9,8,73.5,0.7,1.015e-04,0.3298,7.751e-03,2.36
Cct3,7,7,31,9,8,73.5,0.7,1.015e-04,0.381,1.870e-02,2.04
Sf3b6,7,7,31,9,8,73.5,0.7,1.015e-04,0.3222,6.711e-03,2.41
Ogdh,7,6,31,9,8,73.5,0.7,1.015e-04,0.3148,5.805e-03,2.47
Tomm22,7,7,31,9,8,73.5,0.7,1.015e-04,0.2885,3.350e-03,2.7
Brd4,7,7,31,9,8,73.5,0.7,1.015e-04,0.2551,1.529e-03,3.05
Mrpl45,7,6,31,9,8,73.5,0.7,1.015e-04,0.3333,8.281e-03,2.33
4930467E23Rik,7,7,31,9,8,73.5,0.7,1.015e-04,0.3571,1.265e-02,2.18
Nhp2,7,7,31,9,8,73.5,0.7,1.015e-04,0.3298,7.751e-03,2.36
Dync1h1,7,6,31,9,8,73.5,0.7,1.015e-04,0.3297,7.734e-03,2.36
Nup88,7,6,31,9,8,73.5,0.7,1.015e-04,0.2308,8.000e-04,3.37
Hist1h2ab,7,6,31,9,8,73.5,0.7,1.015e-04,0.1912,2.331e-04,4.07
Bop1,7,7,31,9,8,73.5,0.7,1.015e-04,0.3333,8.281e-03,2.33
Tubg1,7,7,30,9,8,70.0,0.7,1.307e-04,0.3077,5.031e-03,2.53
Nubp1,7,6,30,9,8,70.0,0.7,1.307e-04,0.3596,1.318e-02,2.16
Ppil2,7,6,30,9,8,70.0,0.7,1.307e-04,0.3143,5.744e-03,2.47
Psmb6,7,7,30,9,8,70.0,0.7,1.307e-04,0.3529,1.177e-02,2.2
Dclre1b,7,7,30,9,8,70.0,0.7,1.307e-04,0.1957,2.716e-04,3.98
Rnaseh2b,7,5,30,9,8,70.0,0.7,1.307e-04,0.2766,2.566e-03,2.81
Hist1h2bf,7,7,30,9,8,70.0,0.7,1.307e-04,0.3019,4.464e-03,2.58
Sf3a2,7,7,30,9,8,70.0,0.7,1.307e-04,0.3444,1.014e-02,2.26
Fdx1l,7,7,30,9,8,70.0,0.7,1.307e-04,0.3238,6.919e-03,2.4
Psmd13,7,7,30,9,8,70.0,0.7,1.307e-04,0.3333,8.281e-03,2.33
Prpf40a,7,7,30,9,8,70.0,0.7,1.307e-04,0.2636,1.889e-03,2.95
Wdr12,7,7,30,9,8,70.0,0.7,1.307e-04,0.2952,3.879e-03,2.63
Ncbp1,7,7,30,9,8,70.0,0.7,1.307e-04,0.3846,1.981e-02,2.02
Vmn1r128,7,6,30,9,8,70.0,0.7,1.307e-04,0.2,3.139e-04,3.89
Rps15a,7,7,29,9,8,66.5,0.7,1.698e-04,0.4286,3.756e-02,1.81
Crcp,7,7,29,9,8,66.5,0.7,1.698e-04,0.3333,8.281e-03,2.33
Copb2,7,7,29,9,8,66.5,0.7,1.698e-04,0.3,4.291e-03,2.59
Rpl18a,7,7,29,9,8,66.5,0.7,1.698e-04,0.3596,1.318e-02,2.16
Rps9,7,7,29,9,8,66.5,0.7,1.698e-04,0.3636,1.412e-02,2.14
Eif3i,7,7,29,9,8,66.5,0.7,1.698e-04,0.32,6.428e-03,2.43
Gfer,7,6,29,8,9,66.5,0.7,1.698e-04,0.2762,7.437e-04,3.17
Gpn1,7,7,29,9,8,66.5,0.7,1.698e-04,0.3187,6.264e-03,2.44
Rpl36a,7,7,28,9,8,63.0,0.7,2.230e-04,0.3623,1.381e-02,2.15
Gm14440,7,7,28,9,8,63.0,0.7,2.230e-04,0.2571,1.610e-03,3.02
Sdad1,7,7,27,9,8,59.5,0.7,2.959e-04,0.3523,1.163e-02,2.21
Vmn1r126,7,6,27,9,8,59.5,0.7,2.959e-04,0.2703,2.214e-03,2.88
Med10,7,6,30,8,10,44.333,0.636,4.177e-04,0.3034,1.390e-03,2.88
Cds2,7,7,31,9,9,35.0,0.636,4.224e-04,0.3056,4.815e-03,2.55
Nxf1,7,7,31,9,9,35.0,0.636,4.224e-04,0.3429,9.853e-03,2.27
Snrpf,7,7,31,9,9,35.0,0.636,4.224e-04,0.3474,1.068e-02,2.24
Hnrnpl,7,7,31,9,9,35.0,0.636,4.224e-04,0.3763,1.738e-02,2.07
Gm10220,7,6,31,9,9,35.0,0.636,4.224e-04,0.3778,1.779e-02,2.06
Heatr1,7,7,31,9,9,35.0,0.636,4.224e-04,0.3789,1.812e-02,2.05
Hist2h3c2,7,7,31,9,9,35.0,0.636,4.224e-04,0.3448,1.021e-02,2.26
Nop56,7,7,31,9,9,35.0,0.636,4.224e-04,0.3474,1.068e-02,2.24
Armc7,7,7,31,9,9,35.0,0.636,4.224e-04,0.3483,1.086e-02,2.23
Cwc22,7,6,31,9,9,35.0,0.636,4.224e-04,0.2,3.139e-04,3.89
Hist1h2ac,7,7,31,9,9,35.0,0.636,4.224e-04,0.2361,9.281e-04,3.29
Txnl4a,7,6,31,9,9,35.0,0.636,4.224e-04,0.3431,9.902e-03,2.27
Sys1,7,7,31,9,9,35.0,0.636,4.224e-04,0.3763,1.738e-02,2.07
Rbm8a,7,7,31,9,9,35.0,0.636,4.224e-04,0.3443,1.010e-02,2.26
Psmb2,7,7,31,9,9,35.0,0.636,4.224e-04,0.3077,5.031e-03,2.53
Dad1,7,7,31,9,9,35.0,0.636,4.224e-04,0.3333,8.281e-03,2.33
Pold2,7,7,31,9,9,35.0,0.636,4.224e-04,0.3364,8.771e-03,2.31
Ddx41,7,7,31,9,9,35.0,0.636,4.224e-04,0.3303,7.822e-03,2.35
Yeats4,7,7,31,9,9,35.0,0.636,4.224e-04,0.3143,5.744e-03,2.47
Rrp1,7,7,31,9,9,35.0,0.636,4.224e-04,0.3789,1.812e-02,2.05
Sf1,7,6,31,9,9,35.0,0.636,4.224e-04,0.3009,4.371e-03,2.58
Utp18,7,7,31,9,9,35.0,0.636,4.224e-04,0.3895,2.136e-02,2.0
Wdr36,7,7,31,9,9,35.0,0.636,4.224e-04,0.3333,8.281e-03,2.33
Psmg4,7,7,31,9,9,35.0,0.636,4.224e-04,0.3523,1.163e-02,2.21
Fnta,7,6,31,9,9,35.0,0.636,4.224e-04,0.3274,7.414e-03,2.38
Fbxw11,7,6,31,9,9,35.0,0.636,4.224e-04,0.3084,5.105e-03,2.52
