gene,context,n_cohit_in_context
0610010B08Rik,cell proliferation,2
0610010F05Rik,regulation of signal transduction phenotype,2
0610010K14Rik,regulation of signal transduction phenotype,2
0610030E20Rik,regulation of signal transduction phenotype,2
1110004E09Rik,cell proliferation,5
1110008L16Rik,cell proliferation,2
1110025L11Rik,cell proliferation,2
1110037F02Rik,regulation of signal transduction phenotype,3
1600002H07Rik,regulation of signal transduction phenotype,2
1700001F09Rik,cell proliferation,4
1700003E16Rik,cell proliferation,2
1700020N15Rik,regulation of signal transduction phenotype,2
1700024G13Rik,regulation of signal transduction phenotype,2
1700028P14Rik,cell proliferation,2
1700029H14Rik,regulation of signal transduction phenotype,2
1700037C18Rik,regulation of signal transduction phenotype,2
1700047I17Rik2,regulation of signal transduction phenotype,2
1810013L24Rik,regulation of signal transduction phenotype,2
1810013L24Rik,cell proliferation,2
1810013L24Rik,response to chemicals,2
1810022K09Rik,response to chemicals,2
2-Mar,regulation of signal transduction phenotype,2
2200002D01Rik,regulation of signal transduction phenotype,2
2210407C18Rik,regulation of signal transduction phenotype,2
2310022B05Rik,regulation of signal transduction phenotype,3
2310036O22Rik,cell proliferation,3
2310057M21Rik,regulation of signal transduction phenotype,2
2410131K14Rik,cell proliferation,2
2700060E02Rik,response to chemicals,2
2700062C07Rik,cell proliferation,4
2700062C07Rik,response to chemicals,2
2700097O09Rik,regulation of signal transduction phenotype,2
2810004N23Rik,cell proliferation,2
2810004N23Rik,response to chemicals,2
2810474O19Rik,cell proliferation,2
2900092C05Rik,regulation of signal transduction phenotype,2
3110009E18Rik,regulation of signal transduction phenotype,2
4921536K21Rik,regulation of signal transduction phenotype,2
4930467E23Rik,cell proliferation,5
4930467E23Rik,response to chemicals,2
4930486L24Rik,regulation of signal transduction phenotype,2
4930503E14Rik,cell proliferation,2
4930555G01Rik,cell proliferation,4
4930555G01Rik,response to chemicals,2
4930564D02Rik,regulation of signal transduction phenotype,2
4931406P16Rik,regulation of signal transduction phenotype,2
4933402N22Rik,cell proliferation,4
4933412E24Rik,regulation of signal transduction phenotype,2
4933416C03Rik,regulation of signal transduction phenotype,3
4933430I17Rik,regulation of signal transduction phenotype,2
4933434E20Rik,regulation of signal transduction phenotype,2
5031410I06Rik,cell proliferation,4
5730507C01Rik,response to chemicals,2
7420461P10Rik,response to chemicals,2
9030624G23Rik,cell proliferation,5
9030624G23Rik,response to chemicals,2
9130008F23Rik,regulation of signal transduction phenotype,2
9130011E15Rik,cell proliferation,2
A430005L14Rik,regulation of signal transduction phenotype,2
A430089I19Rik,cell proliferation,3
A530032D15Rik,cell proliferation,5
AU019823,regulation of signal transduction phenotype,2
AU019823,cell proliferation,2
Aamp,cell proliferation,5
Aanat,regulation of signal transduction phenotype,2
Aar2,cell proliferation,2
Aars,cell proliferation,5
Aars,response to chemicals,2
Aars2,cell proliferation,2
Aarsd1,regulation of signal transduction phenotype,2
Aasdhppt,cell proliferation,3
Aasdhppt,response to chemicals,2
Aatf,cell proliferation,4
Aatf,response to chemicals,2
Abca6,regulation of signal transduction phenotype,2
Abcb7,cell proliferation,4
Abcc2,regulation of signal transduction phenotype,2
Abce1,cell proliferation,5
Abcf1,cell proliferation,4
Abcg3,regulation of signal transduction phenotype,2
Abcg8,regulation of signal transduction phenotype,2
Abhd10,regulation of signal transduction phenotype,2
Abhd16a,response to chemicals,2
Abt1,cell proliferation,5
Abt1,response to chemicals,2
Acaca,response to chemicals,2
Acad8,response to chemicals,2
Acad9,regulation of signal transduction phenotype,2
Acad9,response to chemicals,2
Acat2,cell proliferation,2
Accsl,regulation of signal transduction phenotype,2
Acd,cell proliferation,4
Ace3,regulation of signal transduction phenotype,2
Aco2,cell proliferation,2
Acot4,regulation of signal transduction phenotype,2
Acot7,cell proliferation,2
Acoxl,regulation of signal transduction phenotype,3
Acsf2,regulation of signal transduction phenotype,2
Acsl3,regulation of signal transduction phenotype,2
Acsl4,cell proliferation,2
Acsl4,response to chemicals,2
Actb,cell proliferation,4
Actg1,cell proliferation,2
Actl6a,cell proliferation,5
Actl6a,response to chemicals,2
Actr10,cell proliferation,5
Actr2,cell proliferation,5
