gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Mtor,Strong,True,co-hit|co-essentiality|co-citation|contextual,8,7,168.0,4.625e-03,2.72,7.477e-02,0.7306,31,1.003e-02,7,0.3264,False,0.8629
Psma3,Strong,True,co-hit|co-essentiality|co-citation|contextual,8,7,76.0,6.233e-03,2.5,7.477e-02,0.6623,30,3.430e-02,7,0.3558,True,0.8427
Rbm8a,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.26,8.387e-02,0.6331,31,4.987e-02,7,0.3443,False,0.8261
Exosc8,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.47,8.109e-02,0.7553,30,9.224e-03,7,0.3143,False,0.8501
Pabpc1,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.36,8.387e-02,0.7241,30,1.382e-02,7,0.3298,False,0.8438
Gm14393,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,6,129.0,4.820e-03,4.18,6.708e-02,0.7166,30,1.382e-02,6,0.186,False,0.8592
Hist1h2ab,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,6,73.5,6.233e-03,4.07,6.708e-02,0.6625,31,2.922e-02,6,0.1912,False,0.8428
Pfdn2,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,42.0,1.047e-02,2.21,9.440e-02,0.675,31,2.283e-02,6,0.3011,False,0.834
Gm10408,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.15,9.519e-02,0.6948,30,2.117e-02,6,0.3095,False,0.8368
Aasdhppt,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.27,9.440e-02,0.6863,30,2.283e-02,6,0.2941,False,0.8351
Pisd,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.83,8.387e-02,0.6743,30,2.700e-02,6,0.2358,False,0.8327
Polr2k,Strong,True,co-hit|co-essentiality|co-citation|contextual,5,5,33.333,1.990e-02,3.69,8.015e-02,0.6857,29,2.561e-02,5,0.1692,False,0.7889
Wdr92,Strong,True,co-hit|co-essentiality|co-citation|contextual,5,4,70.714,1.024e-02,2.47,9.440e-02,0.6868,30,2.283e-02,4,0.2527,False,0.8035
Gm13275,Strong,True,co-hit|co-essentiality|co-citation|contextual,4,3,45.0,1.990e-02,3.83,8.387e-02,0.6636,30,3.401e-02,4,0.1304,False,0.7011
Eif2b2,Moderate,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.19,7.826e-02,0.6961,30,2.117e-02,7,0.4066,False,0.844
Med12,Moderate,True,co-hit|co-essentiality|co-citation|contextual,7,6,22.167,1.429e-02,1.89,9.558e-02,0.6962,31,1.676e-02,6,0.4124,False,0.8315
Mettl16,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,20.0,1.990e-02,1.94,1.122e-01,0.7383,31,1.003e-02,6,0.3441,False,0.8327
Twistnb,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,19.0,2.139e-02,1.86,1.220e-01,0.7103,30,1.538e-02,6,0.3587,False,0.8256
Gm5795,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,19.0,2.139e-02,2.0,1.088e-01,0.6805,30,2.376e-02,6,0.3333,False,0.8196
Kri1,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,35.0,1.990e-02,2.04,1.251e-01,0.6694,30,3.025e-02,6,0.3059,False,0.7856
Gemin6,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,35.0,1.990e-02,2.0,1.304e-01,0.6529,30,4.201e-02,6,0.3118,False,0.7823
2810004N23Rik,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,16.667,3.329e-02,2.3,1.037e-01,0.7713,30,7.299e-03,5,0.2717,False,0.7948
Mrpl4,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,11.875,4.943e-02,2.22,1.118e-01,0.6997,30,1.952e-02,5,0.25,True,0.7719
Chd4,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,4,26.25,2.298e-02,2.28,1.110e-01,0.7093,31,1.382e-02,4,0.2432,False,0.7905
Trmt6,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,4,15.833,3.766e-02,1.69,1.834e-01,0.6857,29,2.561e-02,4,0.3696,False,0.775
C330027C09Rik,Moderate,True,co-hit|co-essentiality|co-citation|contextual,3,3,28.636,4.943e-02,1.96,2.334e-01,0.6427,30,4.945e-02,3,0.1915,False,0.5938
Wdr3,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,168.0,4.625e-03,2.64,7.477e-02,0.621,31,5.388e-02,7,0.3368,False,0.8409
Uba1,Weak,True,co-hit|co-essentiality|co-citation|contextual,9,7,155.8,4.625e-03,2.81,6.708e-02,0.6105,31,5.760e-02,7,0.3558,True,0.8388
Hist1h2bm,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,135.0,4.625e-03,2.75,7.547e-02,0.5919,31,6.490e-02,7,0.2833,False,0.8351
Gm5458,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,135.0,4.625e-03,2.9,7.547e-02,0.5726,31,8.603e-02,7,0.2683,False,0.8313
Haus5,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.44,8.375e-02,0.4181,31,2.694e-01,7,0.3187,False,0.8004
Hist1h2ak,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,5.0,6.708e-02,0.4157,31,2.730e-01,7,0.1556,False,0.7999
Slu7,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.86,7.547e-02,0.404,31,2.938e-01,7,0.2718,False,0.7975
Iars2,Weak,True,co-hit|co-citation|contextual,8,7,168.0,4.625e-03,2.57,7.477e-02,0.3935,31,3.140e-01,7,0.3458,False,0.7954
Taf2,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.29,8.387e-02,0.3355,31,4.280e-01,7,0.34,False,0.7838
Bap1,Weak,True,co-hit|co-citation|contextual,8,7,168.0,4.625e-03,2.51,7.477e-02,0.1625,31,7.795e-01,7,0.3534,False,0.7492
