screen_id,organism,experimental_setup,condition_name,condition_class,growth_direction,readout_type,method,current_domain,needs_llm,needs_review
381,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
902,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1390,Homo sapiens,Bacteria Exposure,Chlamydia trachomatis,pathogen,suppressing,marker,setup,stress,0,0
803,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
382,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2430,Homo sapiens,Virus Exposure,Virus: Influenza A (A/Puerto Rico/8/1934(H1N1),pathogen,suppressing,survival,setup,stress,0,0
1961,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
899,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
806,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2432,Homo sapiens,Virus Exposure,Virus: Human rhinovirus 16,pathogen,suppressing,survival,setup,stress,0,0
1962,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
805,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1389,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
384,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
804,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1387,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (Severe acute respiratory syndrome coronavirus 2),pathogen,suppressing,survival,setup,stress,0,0
1960,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
901,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
900,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1388,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
2431,Homo sapiens,Virus Exposure,Virus: Respiratory syncytial virus strain A2,pathogen,suppressing,survival,setup,stress,0,0
383,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1963,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2433,Homo sapiens,Virus Exposure,Virus: Human parainfluenza 3 virus,pathogen,suppressing,survival,setup,stress,0,0
385,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
807,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
903,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1391,Homo sapiens,Drug Exposure,Erlotinib,drug,suppressing,survival,setup,stress,0,0
1964,Homo sapiens,Other,Wnt selection conditions,signal,UNRESOLVED,UNRESOLVED,keyword,fitness,1,1
2435,Homo sapiens,Virus Exposure,Virus: HCoV-229E (Human coronavirus 229E),pathogen,suppressing,survival,setup,stress,0,0
386,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
808,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
904,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1392,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
1966,Homo sapiens,Other,-,unknown,UNRESOLVED,UNRESOLVED,unknown,fitness,1,0
2436,Homo sapiens,Virus Exposure,Virus: HCoV-OC43 (Human coronavirus OC43),pathogen,suppressing,survival,setup,stress,0,0
387,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
809,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
905,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1393,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
1394,Homo sapiens,Drug Exposure,acetaldehyde,drug,suppressing,survival,setup,stress,0,0
906,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
388,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
810,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1968,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,marker,setup,reporter,0,0
1967,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,marker,setup,reporter,0,0
2437,Homo sapiens,Virus Exposure,Virus: HCoV-NL63 (Human coronavirus NL63),pathogen,suppressing,survival,setup,stress,0,0
1395,Homo sapiens,Toxin Exposure,F. novicida lipopolysaccharide (LPS),toxin,suppressing,survival,setup,stress,0,0
2438,Homo sapiens,Virus Exposure,Virus: MERS-CoV,pathogen,suppressing,survival,setup,stress,0,0
389,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
811,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
907,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1969,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2439,Homo sapiens,Virus Exposure,Virus: MERS-CoV,pathogen,suppressing,survival,setup,stress,0,0
390,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
812,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
908,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1396,Homo sapiens,Drug Exposure,Formaldehyde,drug,suppressing,survival,setup,stress,0,0
1970,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2440,Homo sapiens,Drug Exposure,AZD6738,drug,suppressing,survival,setup,stress,0,0
1397,Homo sapiens,Drug Exposure,Formaldehyde,drug,suppressing,survival,setup,stress,0,0
391,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
813,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
909,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1971,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
2441,Homo sapiens,Drug Exposure,AZD6738,drug,suppressing,survival,setup,stress,0,0
1401,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
392,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
814,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
910,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1972,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
