screen_id,organism,condition_class,growth_direction,readout_type,sign_convention,source,status,current_domain,new_domain,domain_changed
381,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
902,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1390,Homo sapiens,pathogen,suppressing,marker,,rule,auto,stress,reporter,1
803,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
382,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2430,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1961,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
899,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
806,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2432,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1962,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
805,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1389,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
384,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
804,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1387,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1960,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
901,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
900,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1388,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2431,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
383,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1963,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2433,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
385,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
807,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
903,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1391,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1964,Homo sapiens,signal,promoting,proliferation,KO of the hit gene allows continued proliferation,llm,auto,fitness,stress,1
2435,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
386,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
808,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
904,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1392,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1966,Homo sapiens,unknown,suppressing,proliferation,Genes with a negative CERES score show decreased growth when valine is restricted (sensitizer genes). Genes with a positive CERES score show increased growth when valine is restricted (resistor genes),llm,auto,fitness,stress,1
2436,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
387,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
809,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
905,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1393,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1394,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
906,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
388,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
810,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1968,Homo sapiens,drug,suppressing,marker,,rule,auto,reporter,reporter,0
1967,Homo sapiens,drug,suppressing,marker,,rule,auto,reporter,reporter,0
2437,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1395,Homo sapiens,toxin,suppressing,survival,,rule,auto,stress,stress,0
2438,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
389,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
811,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
907,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1969,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2439,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
390,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
812,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
908,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1396,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1970,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2440,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1397,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
391,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
813,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
909,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1971,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2441,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1401,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
392,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
814,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
910,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1972,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2442,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
